id,count_point_id,aadf_year,region_id,local_authority_id,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
6634,6634,2025,6,122,A107,PA,Major,A503,LA Boundary,533000,187960,51.57482706,-0.08212536,1.0,0.6
6636,6636,2025,6,93,A107,PA,Major,Mile End Rd,Bethnal Green Rd,535030,182500,51.52527938,-0.05494222,0.9,0.6
6638,6638,2025,6,165,A109,PA,Major,A406,A105,530250,191000,51.6027881,-0.12065902,2.3,1.4
6639,6639,2025,6,165,A109,PA,Major,A10,A1010,533700,190630,51.5986547,-0.07101476,0.5,0.3
6640,6640,2025,6,121,A110,PA,Major,A1010,A10,534993,196237,51.64873201,-0.05019767,1.0,0.6
6642,6642,2025,7,123,A112,PA,Major,LA Boundary,A121,538410,198260,51.66608002,-4.061e-05,3.8,2.4
6643,6643,2025,6,125,A112,PA,Major,A503,A104,537340,189100,51.5840312,-0.01909002,2.0,1.2
6644,6644,2025,6,167,A112,PA,Major,A118,A1011,539200,184000,51.53774723,0.00572129,0.8,0.5
6648,6648,2025,6,124,A114,PA,Major,Aldersbrook Rd,Bush Rd,540440,187200,51.56619466,0.0248646,0.6,0.4
6649,6649,2025,6,167,A117,PA,Major,A118,A116,542040,185600,51.55141681,0.04728711,0.8,0.5
6650,6650,2025,6,167,A118,PA,Major,A114,A117,542000,185480,51.55034858,0.04666221,1.7,1.1
6657,6657,2025,6,124,A123,PA,Major,A12(T),A118 roundabout,543200,188000,51.57268922,0.06498279,2.3,1.4
6658,6658,2025,6,168,A124,PA,Major,A1240,A1112/A1083,549000,186800,51.56040582,0.14810598,0.6,0.4
6660,6660,2025,7,128,A126,PA,Major,A126 Crown Rd,A1013,561238,178013,51.47809898,0.32048532,0.4,0.2
6664,6664,2025,7,123,A128,PA,Major,Running Waters,A1023,560500,193160,51.61439298,0.31677059,1.9,1.2
6748,6748,2025,6,103,A101,PA,Major,A200,LA Boundary,535500,180000,51.50270129,-0.04913206,1.0,0.6
6749,6749,2025,6,105,A200,PA,Major,A2209,A2211/A206,538000,177700,51.48142819,-0.01403475,1.0,0.6
6750,6750,2025,6,96,A201,PA,Major,Swinton St,Pentonville Rd,530680,182960,51.53043645,-0.11743997,0.3,0.2
6751,6751,2025,6,174,A201,PA,Major,A3211,St Bride St,531650,181040,51.51295683,-0.10418114,0.3,0.2
6752,6752,2025,6,103,A202,PA,Major,A202 Clayton Rd,A2214 Lausanne rd,535000,176730,51.47343502,-0.05758147,0.9,0.6
6754,6754,2025,6,105,A205,PA,Major,A205 John Wilson St,A206,543600,178700,51.48902117,0.06696219,0.7,0.4
6755,6755,2025,6,105,A205,PA,Major,A205/A20,A210,541300,174400,51.45096089,0.03213854,0.7,0.4
6756,6756,2025,6,104,A205,PA,Major,LA Boundary,A2216,535000,173070,51.44054414,-0.05897717,0.8,0.5
6757,6757,2025,6,108,A205,PA,Major,A219,A3,524500,174850,51.45894475,-0.20934525,1.1,0.7
6758,6758,2025,6,175,A205,PA,Major,LA Boundary,A307,519014,177675,51.48551343,-0.28732165,0.6,0.4
6760,6760,2025,6,105,A206,PA,Major,A206 Pettman Crescent,A209,545000,178740,51.48902365,0.08712937,1.3,0.8
6761,6761,2025,6,105,A206,PA,Major,A206,A200 Creek Rd/Romney Rd,538290,177500,51.47956019,-0.00993954,0.5,0.3
6762,6762,2025,6,106,A207,PA,Major,A223,Roman Way,551200,174780,51.45182043,0.17466914,0.3,0.2
6763,6763,2025,6,106,A207,PA,Major,Welling Way,A209,546000,175940,51.46360717,0.10036611,0.9,0.6
6764,6764,2025,6,176,A208,PA,Major,A223,A222,544610,170000,51.41058886,0.07794495,4.7,2.9
6766,6766,2025,6,106,A211,PA,Major,LA Boundary,A222,545000,172220,51.43043737,0.08445725,2.0,1.2
6767,6767,2025,6,104,A212,PA,Major,A2216,A213,535320,171530,51.4266285,-0.0549636,0.2,0.1
6769,6769,2025,6,134,A213,PA,Major,A212,A215,533380,168000,51.39536583,-0.08417799,2.2,1.4
6770,6770,2025,6,107,A214,PA,Major,A215,B232,532000,171000,51.42264821,-0.10288618,0.6,0.4
6773,6773,2025,6,134,A215,PA,Major,A232,A222,535000,166160,51.3784473,-0.06160475,0.9,0.6
6774,6774,2025,6,108,A217,PA,Major,A24,A3,526600,172000,51.43286601,-0.18015223,4.2,2.6
6777,6777,2025,6,146,A219,PA,Major,A304,A308,524370,176150,51.47065687,-0.21075868,0.3,0.2
6778,6778,2025,6,106,A220,PA,Major,A221,A206,550242,177014,51.47214803,0.16184174,3.4,2.1
6779,6779,2025,6,106,A221,PA,Major,A222,A210,547370,174000,51.44582064,0.1192653,1.1,0.7
6780,6780,2025,6,106,A222,PA,Major,A2001,A211,546170,171600,51.4245659,0.10101981,0.3,0.2
6782,6782,2025,6,134,A222,PA,Major,A212,A222 Cherry Orchard Rd,533000,166400,51.38107635,-0.09023572,1.0,0.6
6783,6783,2025,6,106,A223,PA,Major,A211 Maidstone Rd,A2018,548600,172000,51.42752877,0.13611252,3.3,2.1
6785,6785,2025,6,176,A224,PA,Major,A232,A223,546900,166000,51.37405929,0.10919603,1.2,0.7
6786,6786,2025,9,80,A225,PA,Major,B2174,A226,554070,173700,51.44134389,0.21547228,0.5,0.3
6789,6789,2025,9,80,A226,PA,Major,Home Gardens,A296,554991,173859,51.44252133,0.22878308,0.7,0.4
6797,6797,2025,6,176,A232,PA,Major,A233,A21,542500,165130,51.3673621,0.04567621,1.0,0.6
6800,6800,2025,6,177,A232,PA,Major,LA Boundary,A2043,524000,163540,51.35740717,-0.2204878,1.0,0.6
6801,6801,2025,6,134,A235,PA,Major,A23,A213,531550,167000,51.38680576,-0.1108371,1.3,0.8
6802,6802,2025,6,134,A235,PA,Major,A22,A236,532531,163997,51.35959044,-0.0978656,3.6,2.2
6804,6804,2025,6,134,A236,PA,Major,A232,A213,531870,165700,51.37504888,-0.10672318,1.5,0.9
6805,6805,2025,6,177,A237,PA,Major,LA Boundary,A232,528900,164000,51.36045179,-0.14998634,3.1,1.9
6807,6807,2025,6,178,A240,PA,Major,A3210,A307,518283,167984,51.39856666,-0.30107971,3.4,2.1
6870,6870,2025,6,103,A300,PA,Major,A3200,LA Boundary,532300,180400,51.50705366,-0.09505955,0.5,0.3
6871,6871,2025,6,103,A201,PA,Major,A302,A3202,531700,179400,51.49820693,-0.10407316,0.2,0.1
6879,6879,2025,6,175,A305,PA,Major,A305 Paradise Rd,A205,518360,175000,51.46160813,-0.29763094,1.7,1.1
6880,6880,2025,6,175,A305,PA,Major,A310,A3004,516600,173580,51.44921043,-0.3234217,0.9,0.6
6882,6882,2025,6,175,A305,PA,Major,A305,A305,517800,174820,51.46010703,-0.30574809,0.3,0.2
6884,6884,2025,6,146,A308,PA,Major,A219,A217,525000,176360,51.47240558,-0.20161866,1.5,0.9
6886,6886,2025,6,175,A308,PA,Major,A3008,A311,514000,169480,51.41288941,-0.36213977,0.2,0.1
6890,6890,2025,6,111,A310,PA,Major,A3004,A315,516200,176000,51.47104307,-0.32838117,1.2,0.7
6891,6891,2025,6,175,A310,PA,Major,A313,A309,516200,172000,51.43509212,-0.32969414,1.4,0.9
6892,6892,2025,6,175,A311,PA,Major,A312,A313,514380,171000,51.42647456,-0.35618796,0.9,0.6
6893,6893,2025,6,147,A312,PA,Major,A40(T),A4090,513786,185000,51.5524243,-0.36021975,2.1,1.3
6895,6895,2025,6,111,A312,PA,Major,LA Boundary,A316,512910,172000,51.4357571,-0.37700407,0.3,0.2
6896,6896,2025,6,109,A315,PA,Major,LA Boundary,A4/A3216,527000,179700,51.50197747,-0.17163756,1.7,1.1
6897,6897,2025,6,146,A315,PA,Major,A402 Goldhawk Rd,A315 Studland St,522000,178630,51.4934611,-0.24400806,0.8,0.5
6898,6898,2025,6,111,A205,PA,Major,A315,A3000,519100,178160,51.48985441,-0.2859202,0.2,0.1
6899,6899,2025,6,111,A315,PA,Major,A314,B363,515000,176230,51.47335519,-0.34557595,1.1,0.7
6901,6901,2017,6,111,A316,PA,Major,A314,A312/A305,512000,171800,51.43414008,-0.39015327,1.0,0.6
6902,6902,2025,6,175,A316,PA,Major,A3003,LA Boundary,520000,176050,51.47070027,-0.27367909,0.6,0.4
7043,7043,2025,6,145,A400,PA,Major,A502,Delancey St,528950,183780,51.53820301,-0.14206621,0.2,0.1
7044,7044,2025,6,145,A400,PA,Major,A501,Harrington Sq,529200,183000,51.53113612,-0.13874958,0.9,0.6
7045,7045,2025,6,146,A402,PA,Major,A219,A3220,523600,179830,51.5038988,-0.22055194,0.5,0.3
7049,7049,2025,6,66,A404,PA,Major,A4180,A4125,509000,190930,51.60666871,-0.42738223,2.0,1.2
7050,7050,2025,6,185,A404,PA,Major,A312,B458,515300,187880,51.57800201,-0.33744849,0.7,0.4
7051,7051,2025,6,118,A404,PA,Major,A4005,A4005,516940,185240,51.55393762,-0.31466906,0.6,0.4
7052,7052,2025,6,118,A404,PA,Major,A406,A407,520000,184160,51.54358955,-0.27092153,1.5,0.9
7054,7054,2025,7,78,M25,TM,Major,17,18,503800,195000,51.64423259,-0.50123839,2.3,1.4
7055,7055,2024,6,118,A406,PA,Major,LA Boundary,A404,519660,183950,51.54177425,-0.27589348,1.1,0.7
7057,7057,2025,6,121,A406,PA,Major,A109,A1110,529400,192130,51.61313865,-0.13250867,0.7,0.4
7058,7058,2024,6,125,A406,PA,Major,A1009,A112,536850,191500,51.6057161,-0.02522367,1.7,1.1
7060,7060,2025,6,57,A407,PA,Major,A41,A598,525000,186440,51.56299643,-0.19804614,0.5,0.3
7061,7061,2025,6,118,A407,PA,Major,A404,A4088,522000,184800,51.54891342,-0.24187247,1.8,1.1
7063,7063,2025,6,185,A409,PA,Major,A4005,A410,515377,190000,51.59704055,-0.33564122,3.2,2.0
7064,7064,2025,6,185,A410,PA,Major,A409,A4140,516000,191950,51.6144389,-0.32600585,2.2,1.4
7065,7065,2025,7,78,A411,PA,Major,A4140,A409,515000,194610,51.63855159,-0.33956916,1.3,0.8
7067,7067,2025,7,78,A412,PA,Major,Long Lane,A404,505000,194100,51.63592056,-0.48417224,1.9,1.2
7209,7209,2025,6,96,A501,PA,Major,Penton Rise,A1,531000,183090,51.53153066,-0.11278104,0.6,0.4
7210,7210,2025,6,57,A502,PA,Major,A598,A406,525000,187470,51.57225306,-0.19768017,1.6,1.0
7212,7212,2025,6,96,A503,PA,Major,Isledon Rd,Stroud Green Rd/Blackstock Rd,531360,186700,51.56388868,-0.10624732,0.3,0.2
7213,7213,2025,6,96,A503,PA,Major,A1/A5203,A103,530700,185870,51.55658317,-0.11607161,0.3,0.2
7214,7214,2025,6,145,A503,PA,Major,A400,A5202,529150,184100,51.54103314,-0.13906671,0.3,0.2
7215,7215,2025,6,165,A504,PA,Major,A1201,A103,530000,189220,51.58684987,-0.12492523,1.4,0.9
7216,7216,2025,6,57,A504,PA,Major,A502,A1,523600,189400,51.58990688,-0.21719122,0.7,0.4
7237,7237,2025,6,145,A5202,PA,Major,B512,A503,529300,184000,51.54010015,-0.13694167,0.9,0.6
7318,7318,2025,6,57,A598,PA,Major,A504,A5000,525000,190400,51.59858502,-0.19663708,0.5,0.3
7469,7469,2025,7,78,A1000,PA,Major,A111,B156,526023,200992,51.69354505,-0.17806453,0.8,0.5
7470,7470,2025,6,57,A1000,PA,Major,A598,A109/A5109,526330,193000,51.62165383,-0.17650934,1.7,1.1
7472,7472,2025,6,125,A1006,PA,Major,A503,A104,536000,189200,51.5852544,-0.03838081,2.4,1.5
7473,7473,2025,6,165,A1010,PA,Major,A10,A109,533900,190400,51.59654036,-0.06821663,0.5,0.3
7478,7478,2025,7,123,A1023,PA,Major,A12(T),A128,558000,193030,51.61393149,0.28063424,3.3,2.1
7518,7518,2025,6,168,A1240,PA,Major,A1306,A124,549040,185000,51.54422192,0.14792096,2.8,1.7
7537,7537,2025,6,96,A1200,PA,Major,B102,A104,532300,184000,51.53940546,-0.09370831,0.7,0.4
7538,7538,2025,6,96,A1201,PA,Major,A1199,A503,531960,185000,51.54847152,-0.09823319,2.2,1.4
7540,7540,2025,6,93,A1205,PA,Major,A13/A1261,A11,536630,182000,51.52040204,-0.03208661,1.6,1.0
7549,7549,2025,6,134,A2022,PA,Major,A167,LA Boundary,537200,163900,51.35761124,-0.03088539,1.8,1.1
7557,7557,2025,6,103,A2205,PA,Major,A200,A200,533160,180000,51.50325722,-0.08282605,0.3,0.2
7558,7558,2025,6,104,A2210,PA,Major,A2/A2209,A20 Loampit Vale,537850,176000,51.46618807,-0.01685671,1.6,1.0
7559,7559,2025,6,104,A2211,PA,Major,A20,LA Boundary,538260,176000,51.46608816,-0.01095813,0.7,0.4
