id,count_point_id,year,region_id,local_authority_id,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
11558,6201,2022,6,93,A11,PA,Major,A1205,A12,537000,182730,51.52687238,-0.02647324,1.5,0.9,Estimated,Estimated using AADF from previous year on this link,3209,1254,18154,883,3920,462,61,178,33,47,30,809,25020
11739,6216,2022,6,93,A13,PA,Major,A1206,A102,538200,181030,51.51130381,-0.00985234,0.2,0.1,Estimated,Estimated using AADF from previous year on this link,377,3633,30033,773,7692,1359,148,252,45,22,57,1883,44014
12017,6242,2022,6,104,A20,PA,Major,Amersham Rd,A2210,537600,176000,51.46624886,-0.02045341,1.6,1.0,Estimated,Estimated using AADF from previous year on this link,1124,1498,11874,1259,3063,427,67,81,13,27,39,655,18349
12043,6243,2022,6,105,A20,PA,Major,A205,A208,542000,173300,51.44090149,0.04176492,2.1,1.3,Estimated,Estimated using AADF from previous year on this link,69,922,19293,42,5215,721,62,144,36,36,113,1113,26584
12122,6252,2022,6,104,A21,PA,Major,A2218,A205,538100,172000,51.43018219,-0.01481927,1.9,1.2,Counted,Automatic counter,506,554,16719,790,2779,414,26,41,19,34,26,560,21403
12295,6266,2022,6,107,A23,PA,Major,A203,A202,531200,176000,51.46776818,-0.11253378,1.7,1.1,Counted,Automatic counter,1870,1756,13315,1898,3158,494,65,40,11,4,33,647,20775
12321,6267,2022,6,107,A23,PA,Major,A214,A216,530030,171600,51.42849560,-0.13098323,0.2,0.1,Estimated,Estimated using AADF from previous year on this link,952,1420,16732,1986,4503,280,67,141,21,34,24,567,25207
12347,6268,2022,6,134,A23,PA,Major,Epsom Rd,Croydon Rd,531060,164800,51.36714802,-0.11868563,0.1,0.1,Counted,Manual count,202,1126,27025,358,4734,860,94,144,82,239,330,1748,34991
14281,6425,2022,6,145,A40,PA,Major,Procter St,Gray's Inn Rd,531000,181610,51.51823022,-0.11333110,0.5,0.3,Estimated,Estimated using AADF from previous year on this link,2061,827,7055,632,2321,367,30,62,4,3,14,480,11315
14307,6426,2022,6,109,A40,PA,Major,Orchard St,Regent St,528500,181100,51.51422052,-0.14952830,0.8,0.5,Estimated,Estimated using AADF from previous year on this link,1875,198,4750,2969,251,29,7,1,2,0,0,39,8207
14333,6428,2022,6,146,A219,PA,Major,A40,Uxbridge Rd,523300,180500,51.50998578,-0.22463795,1.1,0.7,Counted,Automatic counter,682,644,8592,879,1992,459,298,59,18,24,1,858,12965
14359,6429,2022,6,147,A40,PA,Major,A312,A4127,514000,183445,51.53840525,-0.35763746,2.3,1.4,Counted,Manual count,121,1923,90572,575,20040,4093,540,1395,226,550,1329,8133,121243
14849,6456,2022,7,78,A41,PA,Major,B462,A4008 / M25 J5,513140,197800,51.66759988,-0.36540428,1.0,0.6,Counted,Manual count,4,357,37953,184,5884,425,94,304,19,51,61,954,45331
14875,6458,2022,6,57,A41,PA,Major,A407,A406,524000,187540,51.57310296,-0.21207729,2.1,1.3,Counted,Manual count,106,1469,48433,670,11989,1589,163,302,38,52,138,2282,64842
14901,6459,2022,6,109,A41,PA,Major,York St,Portman Sq (north),528000,181700,51.51972609,-0.15651218,0.5,0.3,Estimated,Estimated using AADF from previous year on this link,490,736,7058,1223,1153,301,35,37,11,8,9,400,10570
17426,6625,2022,6,103,A100,PA,Major,A2,A2206,533200,179200,51.49605849,-0.08255197,0.4,0.2,Estimated,Estimated using AADF from previous year on this link,1429,1724,13371,694,6194,514,33,27,14,9,4,602,22585
17452,6627,2022,6,165,A103,PA,Major,Middle Lane,Church Lane,530650,189000,51.58472257,-0.11563030,0.9,0.6,Estimated,Estimated using AADF from previous year on this link,160,563,10899,285,2908,176,29,64,1,2,4,278,14933
17478,6629,2022,6,122,A107,PA,Major,Downs Rd,Lea Bridge Rd,534880,186000,51.55676715,-0.05576350,0.3,0.2,Estimated,Estimated using AADF from previous year on this link,1634,956,13809,2506,3290,587,45,61,14,6,14,726,21286
17504,6630,2022,6,96,A104,PA,Major,A1200,A1199,532500,184450,51.54340239,-0.09065681,0.9,0.6,Estimated,Estimated using AADF from previous year on this link,1537,1460,10451,1371,3479,357,29,31,7,1,8,432,17194
17530,6631,2022,6,121,A105,PA,Major,A1004,A111,531200,193000,51.62054043,-0.10620210,0.8,0.5,Estimated,Estimated using AADF from previous year on this link,338,487,11194,447,2226,132,25,12,4,8,3,185,14540
17556,6632,2022,6,122,A105,PA,Major,A503,LA Boundary,532000,187600,51.57182702,-0.09668211,0.4,0.2,Counted,Automatic counter,1456,1184,18013,841,4697,356,38,11,18,12,13,448,25183
17593,6634,2022,6,122,A107,PA,Major,A503,LA Boundary,533000,187960,51.57482706,-0.08212536,1.0,0.6,Estimated,Estimated using AADF from previous year on this link,514,418,8466,798,1746,262,28,26,4,6,11,337,11766
17619,6636,2022,6,93,A107,PA,Major,Mile End Rd,Bethnal Green Rd,535030,182500,51.52527938,-0.05494222,0.9,0.6,Estimated,Estimated using AADF from previous year on this link,1380,776,9881,513,2062,181,21,10,13,7,9,240,13471
17671,6638,2022,6,165,A109,PA,Major,A406,A105,530250,191000,51.60278810,-0.12065902,2.3,1.4,Counted,Manual count,523,884,13975,357,3071,497,44,132,2,17,20,712,18998
17697,6639,2022,6,165,A109,PA,Major,A10,A1010,533700,190630,51.59865470,-0.07101476,0.5,0.3,Estimated,Estimated using AADF from previous year on this link,118,313,12563,142,2817,123,25,12,0,0,0,160,15994
17723,6640,2022,6,121,A110,PA,Major,A1010,A10,534993,196237,51.64873201,-0.05019767,1.0,0.6,Counted,Manual count,147,696,17981,887,2973,531,75,108,19,72,274,1078,23617
17749,6642,2022,7,123,A112,PA,Major,LA Boundary,A121,538410,198260,51.66608002,-0.00004061,3.8,2.4,Counted,Manual count,155,206,13566,6,3524,214,35,96,16,31,55,447,17749
17775,6643,2022,6,125,A112,PA,Major,A503,A104,537340,189100,51.58403120,-0.01909002,2.0,1.2,Estimated,Estimated using AADF from previous year on this link,298,182,11456,816,1897,132,32,13,7,5,10,198,14549
17801,6644,2022,6,167,A112,PA,Major,A118,A1011,539200,184000,51.53774723,0.00572129,0.8,0.5,Estimated,Estimated using AADF from previous year on this link,404,368,11369,1250,1703,143,19,26,7,3,5,203,14894
17853,6648,2022,6,124,A114,PA,Major,Aldersbrook Rd,Bush Rd,540440,187200,51.56619466,0.02486460,0.6,0.4,Estimated,Estimated using AADF from previous year on this link,584,500,24882,557,3691,421,17,3,20,4,10,474,30103
17879,6649,2022,6,167,A117,PA,Major,A118,A116,542040,185600,51.55141681,0.04728711,0.8,0.5,Estimated,Estimated using AADF from previous year on this link,139,89,6945,557,1008,64,7,1,2,0,1,75,8674
17905,6650,2022,6,167,A118,PA,Major,A114,A117,542000,185480,51.55034858,0.04666221,1.7,1.1,Estimated,Estimated using AADF from previous year on this link,654,656,12545,1007,1714,320,41,29,38,27,20,476,16398
17979,6657,2022,6,124,A123,PA,Major,A12(T),A118 roundabout,543200,188000,51.57268922,0.06498279,2.3,1.4,Estimated,Estimated using AADF from previous year on this link,75,84,9749,814,982,71,18,25,1,0,2,117,11746
